#WinSize=100	WinCount=31390658	DepthCount=29105695									
#All-N windows count: 0											
#GC%	RefCnt	DepthCnt	Mean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
69.5	35728	35726	13.7827	0	6.95	12.86	19.25	37.68	0	248.07	2.46271
70.5	28674	28674	12.5328	0	5.9075	11.41	17.73	35.46	0	283.71	1.97659
71.5	22914	22912	11.0029	0	4.8825	9.765	15.74	32.01	0	429.42	1.5794
72.5	19099	19097	9.61728	0	3.97	8.34	13.83	28.59	0	182.6	1.31642
73.5	15555	15553	8.53764	0	3.24	7.15	12.38	26.06	0	406.17	1.07212
74.5	12799	12799	7.35167	0	2.47	5.98	10.79	23.26	0	174	0.882276
75.5	10937	10936	6.43865	0	2.03	5.17	9.51	20.7	0	149.15	0.753854
76.5	9637	9636	5.43908	0	1.43	4.22	8.1	18.1	0	95.92	0.664241
77.5	8379	8376	4.87232	0	1.09	3.64	7.23	16.42	0	280.93	0.577385
78.5	7457	7457	4.29582	0	0.79	3.04	6.57	15.24	0	43.92	0.514035
79.5	6369	6369	3.75043	0	0.57	2.46	5.68	13.33	0	92.48	0.439036
80.5	5197	5193	3.1911	0	0.3	1.93	4.86	11.7	0	24.34	0.35797
81.5	4575	4574	2.72183	0	0.03	1.435	3.97	9.88	0	428.68	0.315301
82.5	3718	3718	2.17857	0	0	0.98	3.15	7.84	0	20.73	0.256294
83.5	3006	3004	2.13329	0	0	0.855	2.82	7.03	0	675.05	0.207075
84.5	2097	2095	1.44409	0	0	0.54	1.91	4.77	0	39.63	0.144415
85.5	1460	1460	1.06662	0	0	0.29	1.43	3.57	0	22.86	0.100643
86.5	925	925	0.750314	0	0	0.09	0.98	2.45	0	11.78	0.0637632
87.5	585	585	0.55106	0	0	0	0.59	1.44	0	31.01	0.0403259
88.5	444	444	0.371396	0	0	0	0.51	1.25	0	7.71	0.0306064
89.5	266	266	0.329812	0	0	0	0.27	0.66	0	5.64	0.0183362
90.5	155	155	0.21271	0	0	0	0.15	0.37	0	2.37	0.0106846
91.5	123	123	0.157886	0	0	0	0.07	0.17	0	2.83	0.00847879
92.5	62	61	0.152623	0	0	0	0.04	0.1	0	1.96	0.00420493
93.5	35	34	0.165	0	0	0	0.03	0.07	0	1.52	0.00234373
94.5	12	12	0.15	0.03	0	0	0	0	0	0.23	0.000827199
95.5	16	16	0.2	0	0	0.02	0.49	0.91	0	160.43	0.00110293
96.5	9	9	0.2	0.06	0	0	0	0	0	126.47	0.000620399
97.5	5	5	0.2	0.18	0	0	0	0	0	251.41	0.000344666
98.5	3	3	0.15	0	0	0	0	0	0	0	0.0002068
99.5	6	6	0.15	0.18	0	0	0	0	0	0.18	0.000413599
