#WinSize=150	WinCount=20856871	DepthCount=19338959									
#All-N windows count: 0											
#GC%	RefCnt	DepthCnt	Mean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
64.5	72065	72065	19.0569	0	12.42	18.8067	24.88	43.5467	0	877.107	7.23048
65.5	29710	29709	17.4377	0	10.8933	17.0133	23	41.1533	0	608.66	2.98079
66.5	48144	48142	15.9458	0	9.48	15.2933	21.3467	39.14	0	310.66	4.83022
67.5	19585	19584	14.5214	0	8.17333	13.7067	19.5933	36.6933	0	826.607	1.96492
68.5	31442	31442	12.9851	0	6.85333	12.1267	17.8467	34.3067	0	342.4	3.15466
69.5	12706	12706	11.6562	0	5.81333	10.74	16.2133	31.6733	0	660.733	1.27483
70.5	20631	20629	10.3772	0	4.85333	9.29333	14.6267	29.2867	0	737.767	2.06976
71.5	8349	8348	9.05219	0	3.98	8.03	12.9267	26.2867	0	204.947	0.837578
72.5	14042	14040	8.08027	0	3.33333	6.99333	11.52	23.76	0	177.833	1.40867
73.5	5884	5884	7.16318	0	2.78167	6.05333	10.34	21.64	0	112.32	0.590358
74.5	9761	9761	6.17527	0	2.16667	5.14	9.02	19.2933	0	103.907	0.979348
75.5	4242	4241	5.34453	0	1.64	4.31333	7.88	17.1867	0	38.96	0.425511
76.5	7495	7494	4.73874	0	1.305	3.66667	7.04	15.6333	0	114.18	0.751893
77.5	3350	3349	3.97477	0	0.906667	2.97333	5.96	13.5	0	36.1	0.336014
78.5	6076	6076	3.43451	0	0.64	2.35333	5.05333	11.66	0	401.48	0.609622
79.5	2791	2791	2.79658	0	0.313333	1.71333	4.30667	10.2733	0	24.6933	0.280029
80.5	4375	4375	2.34312	0	0.173333	1.33333	3.51333	8.5	0	20.2	0.438956
81.5	1681	1681	1.80565	0	0	0.853333	2.62667	6.49333	0	17.3333	0.168659
82.5	2529	2529	1.45106	0	0	0.673333	2.06667	5.16	0	15.5	0.253741
83.5	927	927	1.08143	0	0	0.413333	1.42667	3.55333	0	54.9867	0.0930084
84.5	1164	1164	1.04192	0	0	0.253333	1.1	2.74	0	207.6	0.116787
85.5	395	395	0.6453	0	0	0.0333333	0.82	2.00667	0	9.36	0.0396314
86.5	504	504	0.461839	0	0	0.0333333	0.64	1.59333	0	7.72667	0.0505677
87.5	160	160	0.315917	0	0	0	0.28	0.686667	0	4.11333	0.0160532
88.5	193	193	0.187703	0	0	0	0.146667	0.366667	0	2.97333	0.0193642
89.5	43	43	0.168217	0.02	0	0	0	0	0	1.43333	0.00431431
90.5	59	59	0.171864	0	0	0	0.08	0.113333	0	1.64	0.00591963
91.5	17	17	0.0792157	0.253333	0	0	0	0	0	0.72	0.00170566
92.5	18	17	0.164314	0.04	0	0	0	0	0	2.6	0.00170566
93.5	7	7	0.0390476	0	0	0	0.0933333	0.18	0	0.18	0.000702329
94.5	5	5	0.101333	0.506667	0	0	0	0	0	0.506667	0.000501664
95.5	5	5	0.1	1.39024	0	0	0	0	0	138.493	0.000501664
96.5	4	4	0.08	206.98	0	0	0	0	0	206.98	0.000401331
97.5	2	2	0.06	0.12	0	0	0	0	0	0.12	0.000200665
99.5	3	3	0.02	0	0	0	0	0	0	0	0.000300998
