#WinSize=200	WinCount=15616446	DepthCount=14479965									
#All-N windows count: 0											
#GC%	RefCnt	DepthCnt	Mean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	1136637	362	0.142514	0	0	0	0.075	0.17	0	2.425	0.0478688
1.5	361	361	0.209266	0	0	0	0.205	0.505	0	3.83	0.0477365
2.5	444	444	0.303074	0	0	0	0.3	0.75	0	5.42	0.058712
3.5	522	522	0.349397	0	0	0	0.36	0.88	0	6.615	0.0690262
4.5	565	565	0.565088	0	0	0	0.64	1.575	0	18.745	0.0747123
5.5	551	551	0.706906	0	0	0.04	0.98	2.445	0	6.44	0.072861
6.5	595	595	3.47253	0	0	0.25	1.34	3.3	0	1493.84	0.0786793
7.5	641	641	2.05574	0	0	0.57	2.08	5.09	0	284.455	0.0847621
8.5	650	650	1.94343	0	0	0.885	2.99	7.42	0	94.74	0.0859522
9.5	714	713	4.69044	0	0	1.17	3.79	9.45	0	1358.44	0.094283
10.5	784	784	2.9555	0	0.205	1.6975	4.47	10.805	0	37.24	0.103672
11.5	856	856	3.85857	0	0.41625	2.43	5.815	13.7	0	45.29	0.113192
12.5	958	958	4.95763	0	1	3.7925	7.19	16.43	0	49.79	0.12668
13.5	1050	1050	6.88715	0	1.9175	5.4675	9.695	21.36	0	61.93	0.138846
14.5	1400	1399	8.92937	0	2.85	7.13	12.55	27	0	48.71	0.184996
15.5	1805	1802	11.9824	0	4.66875	9.555	16.15	33.37	0	206.18	0.238286
16.5	2430	2427	15.6261	0	6.89	13.37	22.335	45.455	0	75.15	0.320932
17.5	3702	3702	20.2582	0	10.1088	18.2775	29.615	58.58	0	125.9	0.489531
18.5	5825	5825	24.155	0	13.615	23.62	33.79	63.87	0	189.97	0.770264
19.5	10178	10178	27.6062	0	17.4337	28.18	36.725	65.585	0	192.685	1.34588
20.5	17389	17386	30.0988	0	20.9738	30.775	38.57	64.85	0	591.105	2.29902
21.5	28879	28878	32.2456	0.125	24.085	33.115	40.14	64.17	0	454.965	3.81866
22.5	46938	46936	33.6526	3.805	26.22	34.405	41.17	63.555	0	452.245	6.20654
23.5	72794	72789	34.9434	6.19	27.82	35.625	42.24	63.85	0	428.19	9.62519
24.5	107481	107479	35.8596	8.005	28.94	36.44	42.9	63.835	0	885.975	14.2124
25.5	150147	150138	36.5653	9.29	29.8	37.14	43.48	63.98	0	778.68	19.8534
26.5	200138	200135	37.0343	9.995	30.385	37.585	43.98	64.37	0	1439.97	26.4647
27.5	257149	257148	37.5337	10.91	30.97	38.05	44.345	64.4	0	957.895	34.0038
28.5	493332	493327	37.9173	11.735	31.51	38.485	44.695	64.46	0	1585.52	65.2347
29.5	192451	192448	38.1235	12.17	31.8	38.72	44.89	64.525	0	1137.31	25.4482
30.5	426340	426337	38.2735	12.44	31.975	38.85	45	64.535	0	2012.28	56.3763
31.5	474889	474887	38.4696	12.8	32.18	39.02	45.1	64.48	0	25364.2	62.7963
32.5	518452	518450	38.5824	13.135	32.325	39.08	45.12	64.31	0	29079.3	68.5568
33.5	555531	555523	39.6081	13.475	32.48	39.175	45.15	64.155	0	106955	73.4591
34.5	587035	587030	39.7094	13.64	32.505	39.155	45.085	63.955	0	45863.5	77.6254
35.5	610257	610253	40.7475	13.79	32.51	39.105	44.99	63.71	0	134131	80.6963
36.5	626328	626326	41.2351	13.81	32.44	39.005	44.86	63.49	0	140136	82.8217
37.5	628828	628821	41.1625	13.805	32.325	38.87	44.675	63.195	0	107834	83.1516
38.5	617791	617782	40.9838	13.855	32.18	38.66	44.4	62.73	0	226451	81.6919
39.5	599167	599162	40.0282	13.88	32.02	38.42	44.115	62.255	0	231575	79.2297
40.5	574288	574278	39.4452	13.955	31.855	38.175	43.79	61.69	0	153795	75.9392
41.5	549671	549665	38.061	13.955	31.63	37.875	43.415	61.09	0	52179	72.6845
42.5	523390	523383	37.5305	14.035	31.425	37.545	43.02	60.41	0	30512.6	69.2091
