#WinSize=200	WinCount=15616446	DepthCount=14479965									
#All-N windows count: 0											
#GC%	RefCnt	DepthCnt	Mean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
43.5	498653	498652	36.7721	13.89	31.085	37.16	42.55	59.745	0	25384.7	65.9388
44.5	476003	475994	36.2538	13.625	30.695	36.73	42.075	59.145	0	19292.7	62.9427
45.5	456161	456153	35.6994	13.33	30.24	36.21	41.515	58.42	0	9011.06	60.319
46.5	435262	435257	35.2226	13.03	29.795	35.735	40.975	57.745	0	8799.74	57.5558
47.5	415438	415433	34.7326	12.595	29.3	35.225	40.44	57.145	0	9006.09	54.9344
48.5	393659	393657	34.1677	12.03	28.7	34.67	39.815	56.485	0	17795.4	52.0549
49.5	370317	370317	33.539	11.68	28.23	34.135	39.265	55.815	0	6919.26	48.9686
50.5	346961	346952	32.9089	11.115	27.63	33.545	38.64	55.155	0	15187.8	45.8789
51.5	326467	326464	32.3414	10.615	27.05	32.945	38.01	54.445	0	24712.3	43.1697
52.5	301645	301638	31.6125	9.85	26.36	32.315	37.37	53.875	0	3676.7	39.8869
53.5	268219	268216	30.9926	9.22	25.74	31.72	36.755	53.275	0	3299.69	35.4673
54.5	227601	227599	30.3629	8.41	25.05	31.11	36.145	52.785	0	1308.07	30.0964
55.5	184780	184775	29.7749	7.44	24.26	30.38	35.475	52.29	0	7217.3	24.4336
56.5	212139	212135	28.7794	6.195	23.19	29.365	34.52	51.515	0	3049.08	28.0515
57.5	108951	108949	27.5393	4.595	21.835	28.055	33.33	50.56	0	2258.32	14.4068
58.5	48015	48011	26.6039	3.105	20.67	26.98	32.4	49.985	0	1970.12	6.34869
59.5	83435	83434	25.6749	2.24	19.735	26.025	31.4	48.85	0	2466.51	11.0328
60.5	70402	70395	24.2794	0.73	18.305	24.55	30.025	47.605	0	669.17	9.30862
61.5	60205	60204	22.978	0	16.79	23.025	28.595	46.295	0	857.24	7.96103
62.5	51508	51508	21.4155	0	15.205	21.3425	26.965	44.49	0	1639.87	6.81112
63.5	44005	44005	19.9095	0	13.695	19.705	25.255	42.58	0	1883.36	5.81896
64.5	37075	37071	18.1487	0	11.97	17.81	23.5	40.795	0	495.01	4.90205
65.5	30743	30740	16.4286	0	10.33	15.985	21.53	38.33	0	399.13	4.06488
66.5	24926	24925	14.899	0	8.98	14.285	19.78	35.95	0	534.9	3.29594
67.5	20018	20017	13.4701	0	7.625	12.71	18.105	33.705	0	740.73	2.64693
68.5	16409	16409	12.0301	0	6.45	11.19	16.495	31.545	0	224.44	2.16983
69.5	13286	13285	10.7164	0	5.395	9.81	14.875	29.085	0	153.06	1.75673
70.5	10886	10885	9.5924	0	4.62	8.595	13.38	26.44	0	273.065	1.43937
71.5	8869	8868	8.6098	0	3.955	7.6325	12.215	24.59	0	129.16	1.17265
72.5	7527	7527	7.5027	0	3.26	6.575	10.85	22.215	0	59.665	0.995327
73.5	6337	6337	6.7301	0	2.65	5.715	9.73	20.31	0	127.84	0.837968
74.5	5392	5392	5.77501	0	2.15	4.85	8.3	17.505	0	88.465	0.713007
75.5	4665	4665	5.01338	0	1.665	4	7.395	15.965	0	39.285	0.616872
76.5	3947	3947	4.2687	0	1.3	3.36	6.47	14.055	0	27.17	0.521928
77.5	3541	3540	3.64557	0	0.89	2.8225	5.505	12.425	0	24.27	0.468109
78.5	3117	3117	2.98289	0	0.505	2.115	4.445	10.3	0	68.69	0.412174
79.5	2830	2830	2.54955	0	0.305	1.445	3.685	8.74	0	347.71	0.374223
80.5	2433	2433	1.85699	0	0.195	1.05	2.76	6.595	0	13.73	0.321726
81.5	1851	1850	1.55201	0	0.05	0.87	2.24	5.49	0	12.47	0.244633
82.5	1267	1266	1.17566	0	0	0.505	1.735	4.29	0	9.86	0.167408
83.5	808	807	0.897664	0	0	0.405	1.21	3.02	0	8.865	0.106713
84.5	531	531	1.18252	0	0	0.15	1.13	2.79	0	243.345	0.0702163
85.5	349	349	0.562736	0	0	0.095	0.68	1.7	0	5.915	0.0461497
86.5	216	216	0.361968	0	0	0	0.41	0.975	0	4.615	0.0285626
87.5	131	131	0.310229	0	0	0	0.415	1.025	0	2.46	0.0173227
88.5	50	50	0.3369	0	0	0.01	0.385	0.93	0	2.695	0.00661171
89.5	30	30	0.157167	0	0	0	0.145	0.29	0	1.245	0.00396703
90.5	23	23	0.128043	0	0	0	0.155	0.155	0	1.155	0.00304139
91.5	12	12	0.03625	0.055	0	0	0	0	0	0.295	0.00158681
92.5	4	4	0.1675	0.67	0	0	0	0	0	0.67	0.000528937
93.5	4	4	0.0325	0.13	0	0	0	0	0	0.13	0.000528937
94.5	3	3	0.03	0	0	0	0	0	0	0	0.000396703
95.5	2	2	0.02	134.455	0	0	0	0	0	134.455	0.000264468
97.5	3	3	0.01	0	0	0	165.92	165.92	0	165.92	0.000396703
98.5	1	1	0.005	0.065	0	0	0	0.065	0.065	0.065	0.000132234
99.5	1	1	0	0	0	0	0	0	0	0	0.000132234
